DATETIME,DELTA,THETA,LOW ALPHA,HIGH ALPHA,LOW BETA,HIGH BETA,LOW GAMMA,HIGH GAMMA,ATTENTION,MEDITATION
Wed Dec 12 2018 18:10:13 GMT+0530 (India Standard Time),90326,59246,5554,5369,8257,5846,4319,2545,43,47
Wed Dec 12 2018 18:10:14 GMT+0530 (India Standard Time),32225,58704,13075,11166,13067,5793,5946,4681,47,30
Wed Dec 12 2018 18:10:16 GMT+0530 (India Standard Time),63267,37741,12251,5159,18735,6794,1996,1637,50,26
Wed Dec 12 2018 18:10:17 GMT+0530 (India Standard Time),41113,47075,44711,32992,15887,10045,4252,2053,48,53
Wed Dec 12 2018 18:10:18 GMT+0530 (India Standard Time),21410,29811,16113,2947,19894,5945,7784,7605,56,54
Wed Dec 12 2018 18:10:19 GMT+0530 (India Standard Time),39094,51710,17205,21573,13027,9751,5916,1013,56,54
Wed Dec 12 2018 18:10:20 GMT+0530 (India Standard Time),234563,143709,4990,19609,14875,4932,3060,2606,38,48
Wed Dec 12 2018 18:10:21 GMT+0530 (India Standard Time),107410,42440,69798,2909,5728,8170,3638,3149,38,51
Wed Dec 12 2018 18:10:24 GMT+0530 (India Standard Time),38059,41872,35730,11086,14527,11417,3666,2067,44,57
Wed Dec 12 2018 18:10:25 GMT+0530 (India Standard Time),52914,40933,7490,36868,20544,14237,6922,1795,54,47
Wed Dec 12 2018 18:10:26 GMT+0530 (India Standard Time),97833,73291,38989,5843,25455,13949,6936,2998,77,50
Wed Dec 12 2018 18:10:27 GMT+0530 (India Standard Time),34867,32628,4892,9214,3819,2968,724,1042,60,54
Wed Dec 12 2018 18:10:29 GMT+0530 (India Standard Time),163728,27588,14063,3087,9755,5733,3679,834,51,48
Wed Dec 12 2018 18:10:30 GMT+0530 (India Standard Time),165803,117508,22724,36466,9932,32368,7100,1899,57,48
Wed Dec 12 2018 18:10:31 GMT+0530 (India Standard Time),244002,172990,144560,17290,32957,14051,8655,4707,53,56
Wed Dec 12 2018 18:10:34 GMT+0530 (India Standard Time),78269,7219,5711,3009,2669,1832,1070,582,67,64
Wed Dec 12 2018 18:10:35 GMT+0530 (India Standard Time),166987,48124,10013,5520,5875,6130,4939,874,78,51
Wed Dec 12 2018 18:10:37 GMT+0530 (India Standard Time),15019,13184,1232,7198,3524,12877,2680,1419,87,54
Wed Dec 12 2018 18:10:39 GMT+0530 (India Standard Time),108572,10126,21479,4633,3387,3023,962,718,83,69
Wed Dec 12 2018 18:10:40 GMT+0530 (India Standard Time),31232,13712,12691,5662,4723,2057,753,816,66,70
Wed Dec 12 2018 18:10:41 GMT+0530 (India Standard Time),785065,65865,30274,23827,22661,20617,6438,2447,53,78
Wed Dec 12 2018 18:10:42 GMT+0530 (India Standard Time),322597,31190,5952,6935,9691,6794,2843,932,56,69
Wed Dec 12 2018 18:10:43 GMT+0530 (India Standard Time),593749,66772,25810,53757,13695,55384,5692,2314,75,57
Wed Dec 12 2018 18:10:44 GMT+0530 (India Standard Time),38127,13726,29767,1555,1258,4240,1792,1025,80,66
Wed Dec 12 2018 18:10:45 GMT+0530 (India Standard Time),372203,59643,36538,47344,31029,7899,17404,3452,66,75
Wed Dec 12 2018 18:10:46 GMT+0530 (India Standard Time),7229,5564,1769,3386,2436,2646,2109,863,70,81
Wed Dec 12 2018 18:10:48 GMT+0530 (India Standard Time),62846,12646,22445,3140,37239,23848,6125,2572,80,66
Wed Dec 12 2018 18:10:49 GMT+0530 (India Standard Time),21741,20419,11016,5445,20122,4313,4965,3401,88,57
Wed Dec 12 2018 18:10:50 GMT+0530 (India Standard Time),40150,18810,7039,12704,6963,6346,1612,1482,83,60
Wed Dec 12 2018 18:10:51 GMT+0530 (India Standard Time),20868,53539,10639,12870,4561,10455,6037,1783,83,47
Wed Dec 12 2018 18:10:52 GMT+0530 (India Standard Time),38253,30501,25449,2357,7567,6325,1831,1558,63,54
Wed Dec 12 2018 18:10:55 GMT+0530 (India Standard Time),22032,33131,34458,2903,4469,4248,3859,1087,50,88
Wed Dec 12 2018 18:10:56 GMT+0530 (India Standard Time),7562,22677,14376,7220,19982,18576,6884,1383,67,80
Wed Dec 12 2018 18:10:57 GMT+0530 (India Standard Time),226693,59009,22312,25125,8979,4651,7689,1944,56,74
Wed Dec 12 2018 18:10:58 GMT+0530 (India Standard Time),316036,299873,58897,32683,20935,12117,7528,2561,40,56
Wed Dec 12 2018 18:10:59 GMT+0530 (India Standard Time),272592,132153,12658,44391,14833,9009,5215,4774,38,43
Wed Dec 12 2018 18:11:01 GMT+0530 (India Standard Time),15837,19248,11091,7107,11536,17205,4990,2457,53,29
Wed Dec 12 2018 18:11:02 GMT+0530 (India Standard Time),14038,10647,3973,3283,2206,2144,956,811,69,38
Wed Dec 12 2018 18:11:04 GMT+0530 (India Standard Time),30893,46343,12315,8136,10010,6087,2343,2233,70,57
Wed Dec 12 2018 18:11:06 GMT+0530 (India Standard Time),963709,188618,41146,15203,51947,6455,2879,3866,26,54
Wed Dec 12 2018 18:11:07 GMT+0530 (India Standard Time),37599,19486,34754,14564,12731,6317,1974,413,21,56
Wed Dec 12 2018 18:11:09 GMT+0530 (India Standard Time),112291,32298,36902,17070,8683,5354,5689,995,30,66
Wed Dec 12 2018 18:11:11 GMT+0530 (India Standard Time),63716,126001,38275,19714,30925,7188,2216,1723,48,75
Wed Dec 12 2018 18:11:12 GMT+0530 (India Standard Time),44376,23000,55963,18019,14634,6655,3836,887,40,96
Wed Dec 12 2018 18:11:13 GMT+0530 (India Standard Time),50208,51869,26868,4945,8496,9934,3548,2898,47,84
Wed Dec 12 2018 18:11:14 GMT+0530 (India Standard Time),39450,79185,22186,12320,5695,6973,4170,1037,30,66
Wed Dec 12 2018 18:11:15 GMT+0530 (India Standard Time),130885,13523,6510,3989,1778,5176,980,990,51,70
Wed Dec 12 2018 18:11:16 GMT+0530 (India Standard Time),69859,39601,14539,27803,15020,14243,3871,792,63,56
Wed Dec 12 2018 18:11:17 GMT+0530 (India Standard Time),35845,49820,28618,14942,8251,6351,2136,1473,56,61
Wed Dec 12 2018 18:11:18 GMT+0530 (India Standard Time),21109,31684,47805,10098,19154,5997,1453,1931,57,75
Wed Dec 12 2018 18:11:19 GMT+0530 (India Standard Time),362330,79766,37410,11082,11833,10326,6726,2855,44,74
Wed Dec 12 2018 18:11:20 GMT+0530 (India Standard Time),403419,152166,8515,12333,4735,12844,7935,1777,35,51
Wed Dec 12 2018 18:11:21 GMT+0530 (India Standard Time),21968,25245,3163,8609,7111,8042,3888,2193,48,41
Wed Dec 12 2018 18:11:22 GMT+0530 (India Standard Time),21860,5685,4218,8263,10638,5664,2072,3693,67,34
Wed Dec 12 2018 18:11:24 GMT+0530 (India Standard Time),100244,18068,19486,18859,12744,10426,7947,4134,90,63
Wed Dec 12 2018 18:11:25 GMT+0530 (India Standard Time),108796,24973,55820,34097,15772,14115,10665,2877,83,87
Wed Dec 12 2018 18:11:27 GMT+0530 (India Standard Time),19620,19853,56410,9894,18000,6415,2358,1540,64,100
Wed Dec 12 2018 18:11:28 GMT+0530 (India Standard Time),185729,75409,23093,11563,15597,3680,2294,2046,43,88
Wed Dec 12 2018 18:11:29 GMT+0530 (India Standard Time),222417,54769,18731,37802,8271,4165,4592,825,30,80
Wed Dec 12 2018 18:11:30 GMT+0530 (India Standard Time),49210,101751,62275,12079,22547,11049,6297,3133,17,78
Wed Dec 12 2018 18:11:34 GMT+0530 (India Standard Time),69006,35059,2514,9662,3531,2293,1023,897,29,44
Wed Dec 12 2018 18:11:35 GMT+0530 (India Standard Time),22657,79415,33671,15019,9805,9875,3167,1219,35,43
Wed Dec 12 2018 18:11:36 GMT+0530 (India Standard Time),32324,115184,36786,16975,15362,20810,11435,3844,38,43
Wed Dec 12 2018 18:11:37 GMT+0530 (India Standard Time),68965,115998,4709,6486,23259,9076,9260,3270,37,21
Wed Dec 12 2018 18:11:38 GMT+0530 (India Standard Time),94399,36439,51814,18827,10078,10082,2740,2514,43,41
Wed Dec 12 2018 18:11:39 GMT+0530 (India Standard Time),297706,130744,31172,16508,16371,5530,6601,1751,34,37
Wed Dec 12 2018 18:11:40 GMT+0530 (India Standard Time),9713,135234,8015,11551,16343,6051,3166,2372,17,26
Wed Dec 12 2018 18:11:41 GMT+0530 (India Standard Time),20926,66127,25790,21021,7280,13133,7289,2514,24,51
Wed Dec 12 2018 18:11:43 GMT+0530 (India Standard Time),80172,59600,11735,2286,7628,5320,2594,2571,35,27
Wed Dec 12 2018 18:11:44 GMT+0530 (India Standard Time),1089558,44752,4487,5561,6003,3732,6376,2689,43,30
Wed Dec 12 2018 18:11:46 GMT+0530 (India Standard Time),612314,67961,37623,18266,6904,23479,8058,2929,37,38
Wed Dec 12 2018 18:11:47 GMT+0530 (India Standard Time),3048509,225382,86593,56004,15526,28699,40653,14742,38,48
Wed Dec 12 2018 18:11:48 GMT+0530 (India Standard Time),112898,120215,27624,19886,25289,7689,1750,648,35,54
Wed Dec 12 2018 18:11:49 GMT+0530 (India Standard Time),988157,3441,19763,4495,5073,2544,837,549,44,74
Wed Dec 12 2018 18:11:50 GMT+0530 (India Standard Time),157412,110200,4051,5717,9698,2015,1622,363,16,51
Wed Dec 12 2018 18:11:51 GMT+0530 (India Standard Time),78127,24950,6111,7139,7489,3285,1602,1039,16,47
Wed Dec 12 2018 18:11:52 GMT+0530 (India Standard Time),180165,15554,12727,11903,4638,2416,1009,683,20,63
Wed Dec 12 2018 18:11:54 GMT+0530 (India Standard Time),297605,5563,5165,2864,6935,3547,1387,1213,56,77
Wed Dec 12 2018 18:11:55 GMT+0530 (India Standard Time),60800,58937,23905,30372,7288,9246,4354,2247,57,84
Wed Dec 12 2018 18:11:56 GMT+0530 (India Standard Time),61139,48080,60460,11584,5884,16738,3722,4089,67,83
Wed Dec 12 2018 18:11:57 GMT+0530 (India Standard Time),686752,100125,59774,5367,24933,10439,3222,5027,57,74
Wed Dec 12 2018 18:11:59 GMT+0530 (India Standard Time),116941,68682,118736,31098,21393,8921,4543,4310,30,77
Wed Dec 12 2018 18:12:00 GMT+0530 (India Standard Time),11361,11745,14202,1707,7865,2164,4456,2112,23,74
Wed Dec 12 2018 18:12:01 GMT+0530 (India Standard Time),54559,24660,4842,19420,5861,2309,2136,2161,21,77
